token,frequency,total,idf
year,925916,5940667,1.8587931778264302
some,925617,5940667,1.8591161534391782
under,924883,5940667,1.8599094525891307
became,919981,5940667,1.8652236779590654
world,907996,5940667,1.878336722309733
out,900274,5940667,1.8868775341800301
before,896772,5940667,1.8907750464675541
both,888702,5940667,1.8998147243948553
second,887878,5940667,1.9007423494487081
being,886434,5940667,1.902370022956864
many,873652,5940667,1.9168945685862864
until,869873,5940667,1.921229471633525
well,860946,5940667,1.931544910924125
united,859964,5940667,1.9326861677087157
american,856185,5940667,1.937090221328796
following,855538,5940667,1.9378461848004702
through,852116,5940667,1.9418540278185237
since,851947,5940667,1.9420523772933425
family,845113,5940667,1.950106349387921
such,839374,5940667,1.9569203197008078
than,820015,5940667,1.9802540628410628
no,801701,5940667,2.0028409752174685
used,795838,5940667,2.0101810480710505
several,788902,5940667,2.018934590341588
would,785386,5940667,2.0234013789418857
states,778535,5940667,2.0321627470984676
name,773433,5940667,2.038737648616613
city,758526,5940667,2.058199619233256
however,756290,5940667,2.061151795106707
these,755612,5940667,2.062048678694993
state,738143,5940667,2.0854391228472258
school,717443,5940667,2.113883193645637
south,710608,5940667,2.123455753999671
called,710174,5940667,2.1240666851819334
four,707945,5940667,2.127210288554607
university,706989,5940667,2.1285615885381715
can,704455,5940667,2.13215224140506
early,703883,5940667,2.132964546450372
them,695189,5940667,2.1453929445737887
same,692133,5940667,2.1497985619329048
people,689261,5940667,2.153956686462289
located,686761,5940667,2.1575903532942666
1,684465,5940667,2.160939184407066
work,679527,5940667,2.168179727713861
march,671128,5940667,2.1806168167760713
september,663860,5940667,2.1915054117426283
number,663693,5940667,2.191757002452575
january,663634,5940667,2.1918459029270454
north,656897,5940667,2.2020494626321407
former,655993,5940667,2.2034265774595303
now,655947,5940667,2.2034967026177217
june,654243,5940667,2.2060978535359395
named,651043,5940667,2.21100100336042
october,648042,5940667,2.215621186548279
her,647830,5940667,2.2159483793603645
area,647506,5940667,2.216448635674953
july,645311,5940667,2.2198443244834345
him,640794,5940667,2.2268686632005457
found,639470,5940667,2.228936987346194
august,637133,5940667,2.2325982706278755
began,634451,5940667,2.236816637604963
april,634226,5940667,2.2371713378200044
high,633242,5940667,2.2387240400542106
member,625111,5940667,2.2516474616475906
played,622341,5940667,2.2560885215885382
november,619104,5940667,2.2613034241189025
place,612697,5940667,2.2717061722557297
against,611543,5940667,2.2735914240720287
december,611275,5940667,2.27402975586677
she,600977,5940667,2.291020031362818
